"Species","Date","Sex","Wing","Culmen","Mass","lat","lon","kilometers_shore","shr_bin"
"HAAM","26-Feb-20","F",64,14.8,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",67,15,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"APAP","26-Feb-20","M",75,16.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",67,15.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"APAP","26-Feb-20","M",75,17,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"IIWI","26-Feb-20","M",86,28.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",65,15.4,13,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",64,15.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",66,14.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","M",63,14.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","F",63,14.1,13.5,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",67,14.5,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","26-Feb-20","M",66,15.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","M",67,14.9,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","M",63,14.8,13.6,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","F",62,14.4,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","F",65,13.8,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","M",68,16,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","27-Feb-20","M",66,16.3,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",66,14,11.8,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",65,13.5,12,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",64,14.8,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",65,15.4,13,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",64,14.7,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",63,14,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",64,14.6,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","F",62,11.9,12.9,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",62,13.9,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",63,13.7,11.8,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",63,14.6,12.2,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",63,14,12,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"IIWI","25-Feb-20","F",74,25.8,15.7,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",58,15,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","F",60,13.5,11.8,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","M",67,15.2,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
"HAAM","25-Feb-20","F",61,13.2,NA,19.7381539085102,-155.875233994209,0.846847050455735,"near"
